Postcode,Datum,Soort
1616,20-06-2023,Woninginbraak
1616,10-05-2023,Poging tot woninginbraak
1617,23-05-2023,Woninginbraak
1619,22-06-2023,Woninginbraak
1619,13-05-2023,Poging tot woninginbraak
1619,12-05-2023,Woninginbraak
1622,02-07-2023,Woninginbraak
1623,11-06-2023,Poging tot woninginbraak
1624,30-05-2023,Woninginbraak
1624,25-04-2023,Poging tot woninginbraak
1625,17-05-2023,Poging tot woninginbraak
1625,11-05-2023,Woninginbraak
1628,17-07-2023,Woninginbraak
1628,06-07-2023,Woninginbraak
1628,01-07-2023,Woninginbraak
1628,07-06-2023,Woninginbraak
1628,29-05-2023,Poging tot woninginbraak
1628,18-05-2023,Woninginbraak
1645,16-07-2023,Woninginbraak
1645,23-05-2023,Woninginbraak
1654,14-05-2023,Poging tot woninginbraak
1662,05-05-2023,Poging tot woninginbraak
1671,18-07-2023,Woninginbraak
1671,04-07-2023,Woninginbraak
1671,14-05-2023,Woninginbraak
1682,19-06-2023,Woninginbraak
1687,23-06-2023,Poging tot woninginbraak
1687,23-06-2023,Poging tot woninginbraak
1687,23-06-2023,Poging tot woninginbraak
1687,23-06-2023,Woninginbraak
1687,23-06-2023,Woninginbraak
1687,17-05-2023,Woninginbraak
1689,13-06-2023,Woninginbraak
1693,22-06-2023,Woninginbraak
1701,12-06-2023,Poging tot woninginbraak
1701,11-06-2023,Woninginbraak
1701,23-04-2023,Poging tot woninginbraak
1702,08-06-2023,Woninginbraak
1702,26-05-2023,Poging tot woninginbraak
1703,25-06-2023,Poging tot woninginbraak
1705,19-05-2023,Poging tot woninginbraak
1705,05-05-2023,Woninginbraak
1705,01-05-2023,Woninginbraak
1711,07-07-2023,Woninginbraak
1713,26-06-2023,Poging tot woninginbraak
1718,06-06-2023,Woninginbraak
1721,08-05-2023,Woninginbraak
1722,04-05-2023,Woninginbraak
1723,19-07-2023,Woninginbraak
1724,18-05-2023,Woninginbraak
1741,07-07-2023,Woninginbraak
1741,06-07-2023,Woninginbraak
1741,01-07-2023,Woninginbraak
1741,01-07-2023,Woninginbraak
1744,11-06-2023,Woninginbraak
1746,14-06-2023,Woninginbraak
1747,16-05-2023,Woninginbraak
1749,21-05-2023,Woninginbraak
